ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5870794,HN664913,10/23/2007 09:00:00 AM,115XX S MICHIGAN AVE,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0532,005,9,53,19,1178913,1828126,2007,04/15/2016 08:55:02 AM,41.6836689,-87.620688266,"(41.6836689, -87.620688266)"
5871647,HN678740,10/30/2007 02:33:09 PM,011XX N LAWLER AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1142487,1907182,2007,04/15/2016 08:55:02 AM,41.901361235,-87.752076782,"(41.901361235, -87.752076782)"
5871823,HN458515,07/10/2007 08:30:00 PM,039XX W OHIO ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,27,23,19,1150199,1903721,2007,04/15/2016 08:55:02 AM,41.891717016,-87.723839891,"(41.891717016, -87.723839891)"
5871838,HN664915,10/23/2007 11:00:00 AM,107XX S MICHIGAN AVE,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0513,005,9,49,19,1178802,1833876,2007,04/15/2016 08:55:02 AM,41.699450245,-87.620920514,"(41.699450245, -87.620920514)"
5872163,HN655270,10/18/2007 10:00:00 AM,051XX S ASHLAND AVE,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0932,009,16,61,19,1166542,1870720,2007,04/15/2016 08:55:02 AM,41.800824903,-87.664763008,"(41.800824903, -87.664763008)"
5873149,HN678978,10/30/2007 04:00:00 PM,050XX S COTTAGE GROVE AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,2124,002,4,39,19,1182434,1871952,2007,04/15/2016 08:55:02 AM,41.803851632,-87.606443973,"(41.803851632, -87.606443973)"
5873867,HN681143,10/31/2007 04:30:04 PM,002XX N LA CROSSE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1144000,1901228,2007,04/15/2016 08:55:02 AM,41.884994507,-87.746668849,"(41.884994507, -87.746668849)"
5873883,HN680988,10/31/2007 03:10:39 PM,050XX W GLADYS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,29,25,19,1142694,1897868,2007,04/15/2016 08:55:02 AM,41.87579865,-87.751548394,"(41.87579865, -87.751548394)"
5873898,HN681064,10/31/2007 03:10:00 PM,049XX W SUPERIOR ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1143286,1904515,2007,04/15/2016 08:55:02 AM,41.894027788,-87.749208636,"(41.894027788, -87.749208636)"
5873962,HN678419,10/30/2007 11:29:00 AM,048XX W JACKSON BLVD,1661,GAMBLING,GAME/DICE,STREET,true,false,1533,015,24,25,19,1144332,1898237,2007,04/15/2016 08:55:02 AM,41.876780607,-87.745524905,"(41.876780607, -87.745524905)"
